"Title";"Year";"Album";"Popularity";"durationMin";"Key";"Mode";"Tempo";"Time_signature";"Valence";"Danceability";"Energy";"Loudness";"Acousticness";"Single A side";"Single B side";"Single certification";"newStyle";"newTheme";"newMood";"newGenre";"Songwriter(s)";"primaryWriter";"Lead vocal(s)";"primaryVocals";"Cover";"Covered by";"Chart position UK (Wikipedia)";"Chart position US (Wikipedia)";"Highest position (The Guardian)";"Weeks on chart in UK (The Guardian)";"Weeks at No1 in UK (The Guardian)";"Highest position (Billboard)";"Weeks at No1 (Billboard)";"Top 50 (Billboard)";"Top 50 (Ultimate classic rock)";"Top 50 (Rolling Stone)";"Top 50 (NME)";"Top 50 (Top50songs.org)";"Top 50 (USA today, 2017)";"Top 50 (Vulture, by Bill Wyman)"
"A Day in the Life";"1967";"Sgt. Pepper's Lonely Hearts Club Band";"65";5.58;"E";"Minor";"163.219";"4";"0.175";"0.364";"0.457";"-14.162";"0.29";"Sgt. Pepper's Lonely Hearts Club Band / With a Little Help from My Friends";"A Day in the Life";"";"British Psychedelia";"";"Ambitious";"Psychedelic Rock";"Lennon and McCartney";"Lennon and McCartney";"Lennon and McCartney";"Lennon and McCartney";"N";"27";"63";"";"";"0";"0";"";"0";"";"1";"1";"2";"18";"1";"1"
"A Hard Day's Night";"1964";"A Hard Day's Night";"71";2.53;"C";"Major";"138.514";"4";"0.797";"0.59";"0.805";"-6.481";"0.137";"A Hard Day's Night; A Hard Day's Night";"Things We Said Today; I Should Have Known Better";"RIAA Gold";"British Invasion";"Everyday Life";"Carefree";"Rock";"Lennon";"Lennon";"Lennon, with McCartney";"Lennon";"N";"35";"1";"1";"1";"13";"3";"1";"2";"8";"18";"11";"19";"19";"15";"41"
"A Taste of Honey";"1963";"Please Please Me";"51";2.72;"C#/Db";"Minor";"101.408";"3";"0.412";"0.42";"0.372";"-11.416";"0.698";"";"";"";"British Invasion";"Affection/Fondness";"Earnest";"Pop/Rock";"Scott, Marlow";"Other";"McCartney";"McCartney";"Y";"";"";"";"";"0";"0";"";"0";"";"";"";"";"";"";""
"Across the Universe";"1968";"Let It Be";"69";3.83;"C#/Db";"Major";"152.126";"4";"0.858";"0.257";"0.412";"-11.788";"0.361";"";"";"";"Album Rock";"Introspection";"Atmospheric";"Psychedelic folk";"Lennon";"Lennon";"Lennon";"Lennon";"N";"32";"";"";"";"0";"0";"";"0";"";"";"";"7";"30";"32";""
"Act Naturally";"1965";"Help!";"52";2.32;"G";"Major";"93.02";"4";"0.944";"0.702";"0.447";"-10.122";"0.366";"Yesterday";"Act Naturally";"RIAA Gold";"British Invasion";"Hanging Out";"Amiable/Good-Natured";"Country";"Russell, Morrison";"Other";"Starkey";"Starkey";"Y";"";"";"47";"";"0";"0";"47";"0";"50";"";"";"";"";"";""
"All I've Got to Do";"1963";"With the Beatles";"55";2.07;"C#/Db";"Minor";"119.403";"4";"0.879";"0.49";"0.579";"-10.301";"0.217";"";"";"";"British Invasion";"";"Amiable/Good-Natured";"Pop/Rock";"Lennon";"Lennon";"Lennon";"Lennon";"N";"2";"";"";"";"0";"0";"";"0";"";"";"";"";"";"";""
"All My Loving";"1963";"With the Beatles";"73";2.07;"C#/Db";"Minor";"77.56";"4";"0.9";"0.416";"0.563";"-8.724";"0.207";"All My Loving";"This Boy";"";"British Invasion";"Day Driving";"Bright";"Pop/Rock";"McCartney";"McCartney";"McCartney";"McCartney";"N";"20";"";"45";"";"0";"0";"";"0";"";"46";"44";"35";"43";"29";""
"All Together Now";"1967";"Yellow Submarine";"45";2.17;"D";"Major";"95.937";"4";"0.778";"0.587";"0.431";"-9.495";"0.0722";"All Together Now";"Hey Bulldog";"";"Contemporary Pop/Rock";"Birthday";"Amiable/Good-Natured";"Skiffle";"McCartney, with Lennon";"McCartney";"McCartney, with Lennon";"McCartney";"N";"3";"";"";"";"0";"0";"";"0";"";"";"";"";"";"";""
"All You Need Is Love";"1967";"Magical Mystery Tour";"68";3.95;"G";"Major";"103.436";"4";"0.653";"0.4";"0.48";"-7.768";"0.346";"All You Need Is Love";"Baby, You're a Rich Man";"RIAA Gold";"Contemporary Pop/Rock";"Affection/Fondness";"Amiable/Good-Natured";"Pop/Rock";"Lennon";"Lennon";"Lennon";"Lennon";"N";"20";"1";"1";"";"0";"0";"1";"0";"15";"23";"21";"24";"7";"33";""
"And I Love Her";"1964";"A Hard Day's Night";"74";2.53;"C#/Db";"Minor";"113.312";"4";"0.636";"0.767";"0.331";"-10.777";"0.64";"And I Love Her";"If I Fell";"";"British Invasion. Contemporary Pop/Rock";"New Love";"Poignant";"Pop/Rock";"McCartney, with Lennon";"McCartney";"McCartney";"McCartney";"N";"32";"";"12";"";"0";"0";"12";"0";"37";"";"";"";"";"";""
"And Your Bird Can Sing";"1966";"Revolver";"58";2.02;"E";"Major";"132.59";"4";"0.966";"0.555";"0.65";"-6.936";"0.0067";"";"";"";"British Invasion";"";"Acerbic";"Power Pop";"Lennon, with McCartney";"Lennon";"Lennon";"Lennon";"N";"6";"";"";"";"0";"0";"";"0";"";"";"";"30";"";"";"33"
"Anna (Go to Him)";"1963";"Please Please Me";"58";2.8;"D";"Major";"109.286";"4";"0.835";"0.608";"0.565";"-11.06";"0.635";"";"";"";"British Invasion";"Breakup";"Earnest";"Soul";"Alexander";"Other";"Lennon";"Lennon";"Y";"";"";"";"";"0";"0";"";"0";"";"";"";"";"";"";""
"Another Girl";"1965";"Help!";"52";2.07;"A";"Major";"88.657";"4";"0.822";"0.516";"0.638";"-7.453";"0.238";"";"";"";"British Invasion";"Breakup";"Rollicking";"Country Rock";"McCartney";"McCartney";"McCartney";"McCartney";"N";"";"";"";"";"0";"0";"";"0";"";"";"";"";"";"";""
"Any Time at All";"1964";"A Hard Day's Night";"52";2.22;"D";"Major";"141.016";"4";"0.744";"0.612";"0.719";"-7.026";"0.366";"";"";"";"British Invasion";"Awareness";"Bright";"Pop/Rock";"Lennon, with McCartney";"Lennon";"Lennon, with McCartney";"Lennon";"N";"4";"";"";"";"0";"0";"";"0";"";"";"";"";"";"";""
"Ask Me Why";"1962";"Please Please Me";"52";2.4;"E";"Major";"133.942";"4";"0.597";"0.605";"0.394";"-11.33";"0.767";"Please Please Me";"Ask Me Why";"";"British Invasion";"Affection/Fondness";"Warm";"Pop/Rock";"Lennon, with McCartney";"Lennon";"Lennon";"Lennon";"N";"1";"";"";"";"0";"0";"";"0";"";"";"";"";"";"";""
"Baby It's You";"1963";"Please Please Me";"56";2.7;"E";"Minor";"112.421";"4";"0.879";"0.608";"0.494";"-12.211";"0.778";"";"";"";"British Invasion";"Affection/Fondness";"Bright";"Pop/Rock";"Bacharach, David, Dixon";"Other";"Lennon";"Lennon";"Y";"";"7";"67";"7";"7";"0";"";"0";"";"";"";"";"";"";""
"Baby's in Black";"1964";"Beatles for Sale";"48";2.03;"A";"Major";"202.97";"3";"0.876";"0.374";"0.596";"-7.666";"0.434";"Real Love";"Baby's in Black";"RIAA Gold";"British Invasion";"Heartache";"Angst-Ridden";"Folk Rock";"Lennon and McCartney";"Lennon and McCartney";"Lennon and McCartney";"Lennon and McCartney";"N";"2";"";"";"";"0";"0";"";"0";"";"";"";"";"";"";""
"Baby, You're a Rich Man";"1967";"Magical Mystery Tour";"55";3.05;"G";"Major";"96.751";"4";"0.467";"0.619";"0.625";"-9.635";"0.0119";"All You Need Is Love";"Baby, You're a Rich Man";"RIAA Gold";"British Psychedelia";"";"Acerbic";"Psychedelic Pop";"Lennon and McCartney";"Lennon and McCartney";"Lennon";"Lennon";"N";"3";"1";"34";"";"0";"0";"34";"0";"48";"";"";"";"";"";""
"Back in the U.S.S.R.";"1968";"The Beatles";"65";2.72;"A";"Major";"142.489";"4";"0.494";"0.48";"0.969";"-7.464";"0.069";"Back in the U.S.S.R.";"Twist and Shout";"";"Contemporary Pop/Rock";"Playful";"Exciting";"Rock and Roll";"McCartney";"McCartney";"McCartney";"McCartney";"N";"13";"19";"";"19";"6";"0";"";"0";"";"";"";"";"27";"";"47"
"Bad Boy";"1965";"Past Masters (Vols. 1 & 2 / Remastered)";"40";2.35;"C";"Major";"134.64";"4";"0.878";"0.549";"0.725";"-8.512";"0.199";"";"";"";"British Invasion";"Cool & Cocky";"Bright";"R&B";"Williams";"Other";"Lennon";"Lennon";"Y";"";"";"";"";"0";"0";"";"0";"";"";"";"";"";"";""
"Because";"1969";"Abbey Road";"60";2.75;"D";"Major";"81.257";"4";"0.162";"0.328";"0.249";"-11.777";"0.754";"";"";"";"Contemporary Pop/Rock";"";"Atmospheric";"Pop/Rock";"Lennon";"Lennon";"Lennon, McCartney, Harrison";"More than 2 vocalists";"N";"14";"";"";"";"0";"0";"";"0";"";"";"";"";"31";"";""
"Being for the Benefit of Mr. Kite!";"1967";"Sgt. Pepper's Lonely Hearts Club Band";"54";2.62;"C";"Major";"111.874";"4";"0.71";"0.526";"0.413";"-9.865";"0.338";"";"";"";"British Psychedelia";"";"Atmospheric";"Experimental Rock";"Lennon, with McCartney";"Lennon";"Lennon";"Lennon";"N";"11";"";"";"";"0";"0";"";"0";"";"";"";"";"";"";""
"Birthday";"1968";"The Beatles";"57";2.7;"D";"Major";"139.239";"4";"0.91";"0.541";"0.727";"-7.509";"7.37e-05";"";"";"";"Contemporary Pop/Rock";"Birthday";"Energetic";"Hard Rock";"McCartney, with Lennon";"McCartney";"McCartney, with Lennon";"McCartney";"N";"7";"";"";"";"0";"0";"";"0";"";"";"";"";"";"";""
"Blackbird";"1968";"The Beatles";"79";2.32;"G";"Major";"93.699";"4";"0.372";"0.686";"0.127";"-14.361";"0.754";"";"";"";"Contemporary Pop/Rock";"Freedom";"Amiable/Good-Natured";"Folk";"McCartney";"McCartney";"McCartney";"McCartney";"N";"52";"";"";"";"0";"0";"";"0";"";"";"38";"5";"26";"16";"31"
"Blue Jay Way";"1967";"Magical Mystery Tour";"53";3.92;"C";"Major";"101.052";"4";"0.0378";"0.294";"0.407";"-11.575";"0.0258";"";"";"";"British Psychedelia";"";"Dreamy";"Psychedelic Rock";"Harrison";"Harrison";"Harrison";"Harrison";"N";"3";"";"";"";"0";"0";"";"0";"";"";"";"";"";"";""
"Boys";"1963";"Please Please Me";"51";2.4;"E";"Major";"142.445";"4";"0.822";"0.402";"0.86";"-10.31";"0.607";"Boys";"Kansas City/Hey, Hey, Hey, Hey";"";"British Invasion";"Partying";"Bright";"Rock and Roll";"Dixon, Farrell";"Other";"Starkey (Best)";"Starkey";"Y";"";"";"102";"";"0";"0";"";"0";"";"";"";"";"";"";""
"Can't Buy Me Love";"1964";"A Hard Day's Night";"70";2.18;"C";"Major";"170.72";"4";"0.842";"0.483";"0.677";"-5.91";"0.283";"Can't Buy Me Love";"You Can't Do That";"RIAA Gold";"British Invasion";"Awareness";"Bright";"Pop/Rock";"McCartney";"McCartney";"McCartney, with Lennon";"McCartney";"N";"22";"1";"1";"1";"15";"3";"1";"5";"10";"21";"29";"43";"15";"14";""
"Carry That Weight";"1969";"Abbey Road";"62";1.6;"C";"Major";"84.319";"4";"0.704";"0.543";"0.458";"-8.976";"0.226";"";"";"";"Album Rock";"";"Dramatic";"Symphonic Rock";"McCartney";"McCartney";"McCartney, with Lennon, Harrison and Starkey";"McCartney";"N";"8";"";"";"";"0";"0";"";"0";"";"";"";"";"";"";""
"Chains";"1963";"Please Please Me";"50";2.38;"A#/Bb";"Major";"129.884";"4";"0.929";"0.654";"0.561";"-10.551";"0.608";"";"";"";"British Invasion";"Affection/Fondness";"Amiable/Good-Natured";"Rock and Roll";"Goffin, King";"Other";"Harrison, with Lennon and McCartney";"Harrison";"Y";"";"";"";"";"0";"0";"";"0";"";"";"";"";"";"";""
"Come Together";"1969";"Abbey Road";"81";4.3;"A";"Minor";"165.007";"4";"0.187";"0.533";"0.376";"-11.913";"0.0302";"Something";"Come Together";"RIAA 2xPlatinum";"Album Rock";"";"Atmospheric";"Blues Rock";"Lennon";"Lennon";"Lennon";"Lennon";"N";"53";"4";"1";"";"0";"0";"1";"0";"6";"20";"9";"20";"1";"47";"44"
"Cry Baby Cry";"1968";"The Beatles";"52";3.05;"A";"Minor";"76.644";"4";"0.362";"0.517";"0.529";"-11.851";"0.115";"";"";"";"Contemporary Pop/Rock";"";"Dreamy";"Pop/Rock";"Lennon";"Lennon";"Lennon, with McCartney";"Lennon";"N";"3";"";"";"";"0";"0";"";"0";"";"";"";"";"";"";""
"Day Tripper";"1965";"Past Masters (Vols. 1 & 2 / Remastered)";"44";2.83;"F#/Gb";"Minor";"137.698";"4";"0.729";"0.643";"0.723";"-10.628";"0.104";"We Can Work It Out";"Day Tripper";"RIAA Gold";"British Invasion";"Breakup";"Energetic";"Rock";"Lennon, with McCartney";"Lennon";"Lennon and McCartney";"Lennon and McCartney";"N";"33";"1";"5";"1";"12";"5";"5";"0";"29";"30";"39";"";"40";"34";"30"
